puzzle_type,puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_digit,true_digit_rank,true_digit_prob,confusion_type,full_ranking
hexasudoku_16x16,14,uncorrectable,"(3, 10)",3,0.5564234256744385,11,2,0.43984875082969666,B->3,"[(3, 0.5564234256744385), (11, 0.43984875082969666), (16, 0.0036779758520424366), (5, 4.7802019253140315e-05), (2, 1.3841407735526445e-06)]"
hexasudoku_16x16,14,uncorrectable,"(9, 3)",16,0.9999905824661255,10,2,8.464349775749724e-06,A->G,"[(16, 0.9999905824661255), (10, 8.464349775749724e-06), (9, 9.80886397883296e-07), (15, 1.6121404211588697e-10), (4, 4.540464879077e-11)]"
hexasudoku_16x16,15,two,"(4, 0)",15,0.9828293919563293,14,2,0.017170460894703865,E->F,"[(15, 0.9828293919563293), (14, 0.017170460894703865), (5, 9.787775923086883e-08), (12, 8.617276163469523e-12), (16, 1.7425006750004801e-12)]"
hexasudoku_16x16,15,two,"(6, 14)",12,0.9892441034317017,14,2,0.01075567863881588,E->C,"[(12, 0.9892441034317017), (14, 0.01075567863881588), (10, 1.3342979343633488e-07), (15, 8.169961063231312e-08), (13, 5.565011562680411e-09)]"
hexasudoku_16x16,16,single,"(2, 4)",8,0.7962280511856079,11,5,0.001056938199326396,B->8,"[(8, 0.7962280511856079), (5, 0.19800281524658203), (6, 0.0021045582834631205), (13, 0.0019004162168130279), (11, 0.001056938199326396)]"
hexasudoku_16x16,18,two,"(10, 13)",7,0.980815052986145,15,2,0.017619095742702484,F->7,"[(7, 0.980815052986145), (15, 0.017619095742702484), (2, 0.0011751302517950535), (10, 0.0003512461844366044), (14, 3.412172736716457e-05)]"
hexasudoku_16x16,18,two,"(12, 13)",15,0.7469252347946167,14,2,0.25166773796081543,E->F,"[(15, 0.7469252347946167), (14, 0.25166773796081543), (12, 0.0014070451725274324), (5, 7.498366372260534e-10), (16, 1.0084608148552832e-10)]"
hexasudoku_16x16,19,single,"(10, 7)",6,0.6476637721061707,8,2,0.350678950548172,8->6,"[(6, 0.6476637721061707), (8, 0.350678950548172), (2, 0.0006817919202148914), (4, 0.0004944674437865615), (13, 0.00035242378362454474)]"
hexasudoku_16x16,20,two,"(2, 8)",1,0.9681665301322937,15,2,0.02861163392663002,F->1,"[(1, 0.9681665301322937), (15, 0.02861163392663002), (13, 0.0027493766974657774), (2, 0.00012172177957836539), (10, 9.891928493743762e-05)]"
hexasudoku_16x16,20,two,"(3, 14)",10,0.9992738366127014,2,3,0.00018808548338711262,2->A,"[(10, 0.9992738366127014), (13, 0.0005370166036300361), (2, 0.00018808548338711262), (4, 1.018863031276851e-06), (16, 5.131142088998786e-08)]"
hexasudoku_16x16,21,single,"(13, 10)",7,0.9777017831802368,2,2,0.02226925455033779,2->7,"[(7, 0.9777017831802368), (2, 0.02226925455033779), (1, 2.71907865680987e-05), (3, 9.668179927757592e-07), (9, 7.605036671520793e-07)]"
hexasudoku_16x16,23,uncorrectable,"(7, 1)",3,0.934270977973938,5,2,0.06572768092155457,5->3,"[(3, 0.934270977973938), (5, 0.06572768092155457), (9, 1.3555952591559617e-06), (8, 5.641680456136555e-10), (1, 3.56762952513634e-10)]"
hexasudoku_16x16,23,uncorrectable,"(8, 3)",4,0.886350691318512,8,2,0.100364089012146,8->4,"[(4, 0.886350691318512), (8, 0.100364089012146), (16, 0.010213558562099934), (9, 0.002729706931859255), (2, 0.00027742699603550136)]"
hexasudoku_16x16,23,uncorrectable,"(12, 0)",10,0.9997618794441223,16,3,9.93944559013471e-05,G->A,"[(10, 0.9997618794441223), (9, 0.00011816313781309873), (16, 9.93944559013471e-05), (4, 1.9969887944171205e-05), (15, 4.7273837822103815e-07)]"
hexasudoku_16x16,24,uncorrectable,"(12, 3)",2,0.9967613816261292,3,3,7.219863618956879e-05,3->2,"[(2, 0.9967613816261292), (7, 0.003166036680340767), (3, 7.219863618956879e-05), (1, 3.129155459191679e-07), (13, 2.32718218029504e-08)]"
hexasudoku_16x16,24,uncorrectable,"(13, 15)",12,0.5479336977005005,14,2,0.45206061005592346,E->C,"[(12, 0.5479336977005005), (14, 0.45206061005592346), (15, 4.355389592092251e-06), (16, 1.0469165090398747e-06), (10, 1.957006787733917e-07)]"
hexasudoku_16x16,24,uncorrectable,"(14, 9)",12,0.9999994039535522,16,2,6.430823873415648e-07,G->C,"[(12, 0.9999994039535522), (16, 6.430823873415648e-07), (10, 6.052026067793204e-12), (14, 2.428655150252257e-12), (15, 2.446974101209115e-13)]"
hexasudoku_16x16,25,two,"(0, 2)",4,0.9086809158325195,9,2,0.0913190096616745,9->4,"[(4, 0.9086809158325195), (9, 0.0913190096616745), (16, 9.965125613575765e-09), (7, 4.572803182119334e-13), (15, 3.737195760646593e-15)]"
hexasudoku_16x16,25,two,"(3, 9)",1,0.5070040225982666,2,2,0.48914647102355957,2->1,"[(1, 0.5070040225982666), (2, 0.48914647102355957), (3, 0.002452409127727151), (7, 0.0013315884862095118), (13, 6.319599924609065e-05)]"
hexasudoku_16x16,28,single,"(6, 0)",1,0.8058156967163086,8,2,0.09229675680398941,8->1,"[(1, 0.8058156967163086), (8, 0.09229675680398941), (2, 0.0515696182847023), (13, 0.030982481315732002), (16, 0.00898849405348301)]"
hexasudoku_16x16,29,uncorrectable,"(8, 14)",10,0.3860965669155121,16,3,0.17031137645244598,G->A,"[(10, 0.3860965669155121), (6, 0.30563873052597046), (16, 0.17031137645244598), (12, 0.12313757091760635), (14, 0.014374211430549622)]"
hexasudoku_16x16,29,uncorrectable,"(9, 1)",8,0.7980102300643921,11,2,0.19067400693893433,B->8,"[(8, 0.7980102300643921), (11, 0.19067400693893433), (16, 0.01131348591297865), (6, 1.4927157963029458e-06), (5, 7.897681939539325e-07)]"
hexasudoku_16x16,29,uncorrectable,"(12, 14)",12,0.4370323121547699,2,3,0.11383389681577682,2->C,"[(12, 0.4370323121547699), (14, 0.4362751543521881), (2, 0.11383389681577682), (6, 0.012850683182477951), (8, 4.20851483795559e-06)]"
hexasudoku_16x16,31,single,"(3, 12)",8,0.6277682781219482,16,2,0.37223172187805176,G->8,"[(8, 0.6277682781219482), (16, 0.37223172187805176), (15, 2.9916540165292327e-12), (14, 2.7956961832359406e-12), (13, 3.906598961965664e-14)]"
hexasudoku_16x16,32,uncorrectable,"(0, 8)",1,0.9659304022789001,10,3,0.0030428410973399878,A->1,"[(1, 0.9659304022789001), (13, 0.02985868789255619), (10, 0.0030428410973399878), (14, 0.0010107408743351698), (11, 0.00010234757064608857)]"
hexasudoku_16x16,32,uncorrectable,"(0, 15)",6,0.5483057498931885,16,2,0.4509415328502655,G->6,"[(6, 0.5483057498931885), (16, 0.4509415328502655), (8, 0.0006648506969213486), (5, 6.891330849612132e-05), (10, 1.031049669109052e-05)]"
hexasudoku_16x16,33,single,"(13, 3)",1,0.9659304022789001,10,3,0.0030428410973399878,A->1,"[(1, 0.9659304022789001), (13, 0.02985868789255619), (10, 0.0030428410973399878), (14, 0.0010107408743351698), (11, 0.00010234757064608857)]"
hexasudoku_16x16,35,uncorrectable,"(2, 4)",9,0.812174916267395,16,2,0.18781425058841705,G->9,"[(9, 0.812174916267395), (16, 0.18781425058841705), (5, 5.975705335004022e-06), (10, 4.69082306153723e-06), (4, 9.222232932870611e-08)]"
hexasudoku_16x16,35,uncorrectable,"(5, 15)",6,0.7902669906616211,16,2,0.20972757041454315,G->6,"[(6, 0.7902669906616211), (16, 0.20972757041454315), (5, 3.3598275877011474e-06), (11, 2.147983650502283e-06), (8, 6.304447519589473e-10)]"
hexasudoku_16x16,35,uncorrectable,"(10, 15)",8,0.7640203237533569,6,2,0.23577004671096802,6->8,"[(8, 0.7640203237533569), (6, 0.23577004671096802), (16, 0.0002019554958678782), (11, 6.949663202249212e-06), (9, 6.997810260145343e-07)]"
hexasudoku_16x16,38,uncorrectable,"(4, 7)",10,0.5068863034248352,14,2,0.49301454424858093,E->A,"[(10, 0.5068863034248352), (14, 0.49301454424858093), (12, 4.659836849896237e-05), (15, 4.571049430523999e-05), (11, 4.5571409827971365e-06)]"
hexasudoku_16x16,38,uncorrectable,"(7, 1)",12,0.9869443774223328,14,2,0.013055612333118916,E->C,"[(12, 0.9869443774223328), (14, 0.013055612333118916), (16, 8.19874584889746e-11), (15, 2.1881500084086625e-11), (10, 2.708458240671674e-12)]"
hexasudoku_16x16,38,uncorrectable,"(9, 9)",11,0.6068885922431946,6,3,0.10581892728805542,6->B,"[(11, 0.6068885922431946), (5, 0.2872813045978546), (6, 0.10581892728805542), (8, 1.1159774658153765e-05), (16, 9.409160561801855e-09)]"
hexasudoku_16x16,39,single,"(3, 5)",13,0.9750229716300964,11,2,0.02356247790157795,B->D,"[(13, 0.9750229716300964), (11, 0.02356247790157795), (6, 0.0012944848276674747), (16, 7.139715307857841e-05), (10, 4.610450196196325e-05)]"
hexasudoku_16x16,40,two,"(6, 3)",16,0.3756340742111206,14,2,0.3267139792442322,E->G,"[(16, 0.3756340742111206), (14, 0.3267139792442322), (12, 0.17974922060966492), (6, 0.1121704950928688), (10, 0.0053147668950259686)]"
hexasudoku_16x16,40,two,"(13, 15)",8,0.9649176597595215,11,2,0.033781155943870544,B->8,"[(8, 0.9649176597595215), (11, 0.033781155943870544), (16, 0.0012985827634111047), (14, 2.6978291316481773e-06), (6, 6.919507744562736e-10)]"
hexasudoku_16x16,41,single,"(8, 0)",4,0.5545758008956909,9,2,0.4454231858253479,9->4,"[(4, 0.5545758008956909), (9, 0.4454231858253479), (16, 6.266546961342101e-07), (7, 3.5812894338960177e-07), (1, 1.0949655404601799e-08)]"
hexasudoku_16x16,42,two,"(6, 11)",9,0.9991239905357361,3,2,0.0008494654903188348,3->9,"[(9, 0.9991239905357361), (3, 0.0008494654903188348), (16, 2.6244284526910633e-05), (5, 3.2743875522101007e-07), (8, 7.741096652580381e-09)]"
hexasudoku_16x16,42,two,"(9, 3)",8,0.5281070470809937,16,2,0.47188839316368103,G->8,"[(8, 0.5281070470809937), (16, 0.47188839316368103), (14, 4.340993655205239e-06), (15, 1.6344176856364356e-07), (11, 6.6279635113630775e-09)]"
hexasudoku_16x16,43,uncorrectable,"(2, 7)",1,0.9986870884895325,7,2,0.0013129176804795861,7->1,"[(1, 0.9986870884895325), (7, 0.0013129176804795861), (9, 7.292942361125654e-10), (8, 2.786640085350456e-10), (13, 8.324075803645137e-12)]"
hexasudoku_16x16,43,uncorrectable,"(12, 8)",7,0.6836131811141968,15,2,0.30871888995170593,F->7,"[(7, 0.6836131811141968), (15, 0.30871888995170593), (10, 0.0074463835917413235), (16, 0.00021513290994334966), (14, 6.155510618555127e-06)]"
hexasudoku_16x16,44,single,"(11, 8)",8,0.901474118232727,9,2,0.06484512984752655,9->8,"[(8, 0.901474118232727), (9, 0.06484512984752655), (16, 0.033643223345279694), (14, 3.748660674318671e-05), (15, 5.74713698853202e-09)]"
hexasudoku_16x16,45,two,"(6, 3)",1,0.9999998807907104,11,2,9.76065948066207e-08,B->1,"[(1, 0.9999998807907104), (11, 9.76065948066207e-08), (6, 8.295855558060339e-09), (13, 9.832026304223973e-10), (14, 7.730179829579242e-10)]"
hexasudoku_16x16,45,two,"(11, 14)",12,0.9176390171051025,14,2,0.08236098289489746,E->C,"[(12, 0.9176390171051025), (14, 0.08236098289489746), (10, 3.55240108163013e-11), (16, 2.431745024799887e-14), (13, 5.856594167421257e-15)]"
hexasudoku_16x16,46,two,"(3, 0)",14,0.9983695149421692,11,2,0.0011221303138881922,B->E,"[(14, 0.9983695149421692), (11, 0.0011221303138881922), (16, 0.0005042630364187062), (8, 3.993671271018684e-06), (15, 1.7345483938058237e-09)]"
hexasudoku_16x16,46,two,"(7, 12)",15,0.9407225251197815,14,2,0.031595177948474884,E->F,"[(15, 0.9407225251197815), (14, 0.031595177948474884), (5, 0.023356666788458824), (12, 0.004232009872794151), (4, 5.890439570066519e-05)]"
hexasudoku_16x16,47,uncorrectable,"(15, 15)",12,0.9942254424095154,14,2,0.005774524994194508,E->C,"[(12, 0.9942254424095154), (14, 0.005774524994194508), (10, 2.5657048041693997e-08), (15, 6.509129679699299e-09), (16, 8.458629907615034e-10)]"
hexasudoku_16x16,48,two,"(14, 14)",15,0.8560454249382019,11,3,0.005348355509340763,B->F,"[(15, 0.8560454249382019), (14, 0.13823947310447693), (11, 0.005348355509340763), (13, 0.0002908249734900892), (4, 3.855508111882955e-05)]"
hexasudoku_16x16,48,two,"(15, 11)",5,0.6215546131134033,3,2,0.37844541668891907,3->5,"[(5, 0.6215546131134033), (3, 0.37844541668891907), (9, 1.180314845861119e-09), (11, 2.868169243774865e-11), (16, 1.638468874465282e-11)]"
hexasudoku_16x16,49,single,"(10, 12)",5,0.966442883014679,3,2,0.03355712443590164,3->5,"[(5, 0.966442883014679), (3, 0.03355712443590164), (16, 3.9643236249276015e-08), (11, 2.5905903200396097e-08), (6, 9.09382702474204e-09)]"
hexasudoku_16x16,51,uncorrectable,"(8, 7)",4,0.9165083765983582,15,2,0.08347906172275543,F->4,"[(4, 0.9165083765983582), (15, 0.08347906172275543), (1, 9.052299901668448e-06), (10, 2.6582765713101253e-06), (14, 5.523849608835008e-07)]"
hexasudoku_16x16,51,uncorrectable,"(15, 3)",2,0.7258819937705994,10,2,0.25708258152008057,A->2,"[(2, 0.7258819937705994), (10, 0.25708258152008057), (8, 0.01625346578657627), (9, 0.0004763608449138701), (16, 0.00021723035024479032)]"
hexasudoku_16x16,51,uncorrectable,"(15, 4)",2,0.7728258371353149,8,2,0.20850731432437897,8->2,"[(2, 0.7728258371353149), (8, 0.20850731432437897), (13, 0.018403979018330574), (10, 0.00022229665773920715), (16, 3.222360464860685e-05)]"
hexasudoku_16x16,52,two,"(10, 15)",8,0.9427197575569153,5,2,0.049180179834365845,5->8,"[(8, 0.9427197575569153), (5, 0.049180179834365845), (12, 0.0035300562158226967), (16, 0.003053303575143218), (9, 0.0005638367729261518)]"
hexasudoku_16x16,52,two,"(11, 15)",4,0.6790407299995422,10,2,0.31992799043655396,A->4,"[(4, 0.6790407299995422), (10, 0.31992799043655396), (16, 0.0008175548864528537), (15, 0.00019741234427783638), (13, 9.471400517213624e-06)]"
hexasudoku_16x16,57,single,"(12, 1)",9,0.7832716107368469,8,2,0.09780354797840118,8->9,"[(9, 0.7832716107368469), (8, 0.09780354797840118), (16, 0.06182293966412544), (3, 0.04223111644387245), (5, 0.014857441186904907)]"
hexasudoku_16x16,59,uncorrectable,"(14, 10)",6,0.9270145297050476,16,2,0.0729854628443718,G->6,"[(6, 0.9270145297050476), (16, 0.0729854628443718), (12, 8.988687398570061e-12), (9, 1.6464455666886924e-13), (5, 1.4589592283852787e-13)]"
hexasudoku_16x16,59,uncorrectable,"(14, 11)",1,0.9916241765022278,7,3,0.003281103214249015,7->1,"[(1, 0.9916241765022278), (4, 0.005093866493552923), (7, 0.003281103214249015), (13, 4.940191615787626e-07), (6, 1.9496852132760978e-07)]"
hexasudoku_16x16,60,uncorrectable,"(0, 3)",8,0.7980102300643921,11,2,0.19067400693893433,B->8,"[(8, 0.7980102300643921), (11, 0.19067400693893433), (16, 0.01131348591297865), (6, 1.4927157963029458e-06), (5, 7.897681939539325e-07)]"
hexasudoku_16x16,60,uncorrectable,"(12, 3)",16,0.5659478902816772,10,2,0.2555002272129059,A->G,"[(16, 0.5659478902816772), (10, 0.2555002272129059), (9, 0.1780165135860443), (2, 0.00046188433771021664), (13, 6.439891149057075e-05)]"
hexasudoku_16x16,60,uncorrectable,"(13, 0)",8,0.6120139956474304,11,3,0.08404742181301117,B->8,"[(8, 0.6120139956474304), (5, 0.19971385598182678), (11, 0.08404742181301117), (6, 0.07330617308616638), (3, 0.030816521495580673)]"
hexasudoku_16x16,61,single,"(10, 3)",16,0.8420230150222778,11,2,0.1497957557439804,B->G,"[(16, 0.8420230150222778), (11, 0.1497957557439804), (14, 0.0076606725342571735), (8, 0.0005201250314712524), (9, 1.2114084313452622e-07)]"
hexasudoku_16x16,62,two,"(3, 0)",7,0.92635178565979,9,2,0.06741869449615479,9->7,"[(7, 0.92635178565979), (9, 0.06741869449615479), (3, 0.0033160329330712557), (5, 0.002793654100969434), (1, 0.00011109839397249743)]"
hexasudoku_16x16,62,two,"(6, 14)",9,0.6224673390388489,16,2,0.3060263991355896,G->9,"[(9, 0.6224673390388489), (16, 0.3060263991355896), (1, 0.069310262799263), (4, 0.001971685793250799), (10, 0.0001956890628207475)]"
hexasudoku_16x16,65,uncorrectable,"(14, 1)",4,0.8168627023696899,8,2,0.16144968569278717,8->4,"[(4, 0.8168627023696899), (8, 0.16144968569278717), (9, 0.01570156402885914), (1, 0.005042398348450661), (13, 0.00028226367430761456)]"
hexasudoku_16x16,65,uncorrectable,"(15, 5)",12,0.9997959733009338,14,2,0.00020400503126438707,E->C,"[(12, 0.9997959733009338), (14, 0.00020400503126438707), (13, 4.1102416067050063e-13), (10, 3.815946311106627e-13), (11, 2.4331364458223415e-15)]"
hexasudoku_16x16,66,single,"(1, 10)",7,0.9999439716339111,2,3,1.5582241758238524e-05,2->7,"[(7, 0.9999439716339111), (4, 4.04895945393946e-05), (2, 1.5582241758238524e-05), (9, 4.384973772975087e-10), (1, 2.0119359737252873e-12)]"
hexasudoku_16x16,67,single,"(8, 6)",12,0.9998613595962524,14,2,0.00013858271995559335,E->C,"[(12, 0.9998613595962524), (14, 0.00013858271995559335), (16, 1.1454721615677954e-08), (13, 4.129331099278488e-09), (15, 1.2828470230541456e-10)]"
hexasudoku_16x16,69,uncorrectable,"(1, 7)",9,0.8405742049217224,16,2,0.1594257354736328,G->9,"[(9, 0.8405742049217224), (16, 0.1594257354736328), (10, 2.6052896728856467e-08), (4, 7.008875684694216e-12), (7, 3.782634795668205e-12)]"
hexasudoku_16x16,69,uncorrectable,"(2, 11)",14,0.6130585074424744,12,2,0.38688868284225464,C->E,"[(14, 0.6130585074424744), (12, 0.38688868284225464), (16, 2.1560186723945662e-05), (15, 1.8751939933281392e-05), (10, 6.120357738836901e-06)]"
hexasudoku_16x16,69,uncorrectable,"(4, 10)",9,0.5240619778633118,3,2,0.47508108615875244,3->9,"[(9, 0.5240619778633118), (3, 0.47508108615875244), (5, 0.0008521446725353599), (7, 2.3555171537736896e-06), (16, 1.2801718867194722e-06)]"
hexasudoku_16x16,69,uncorrectable,"(15, 12)",13,0.7718968987464905,16,2,0.22325950860977173,G->D,"[(13, 0.7718968987464905), (16, 0.22325950860977173), (8, 0.003031992819160223), (11, 0.001066540484316647), (10, 0.0005438111838884652)]"
hexasudoku_16x16,70,single,"(12, 6)",12,0.9994257688522339,14,2,0.0005742569919675589,E->C,"[(12, 0.9994257688522339), (14, 0.0005742569919675589), (10, 1.6676093839151918e-10), (15, 2.0461370445201688e-11), (16, 6.792583531235741e-13)]"
hexasudoku_16x16,71,uncorrectable,"(2, 4)",4,0.5426928400993347,15,2,0.4572313129901886,F->4,"[(4, 0.5426928400993347), (15, 0.4572313129901886), (10, 7.49514001654461e-05), (14, 5.581410960076028e-07), (7, 3.0836682185508835e-07)]"
hexasudoku_16x16,71,uncorrectable,"(14, 10)",1,0.99725741147995,10,8,2.5828518118942156e-05,A->1,"[(1, 0.99725741147995), (4, 0.001677492749877274), (13, 0.00045646686339750886), (12, 0.00033251961576752365), (16, 8.162744052242488e-05)]"
hexasudoku_16x16,71,uncorrectable,"(15, 15)",10,0.9986546039581299,16,2,0.0013453618157655,G->A,"[(10, 0.9986546039581299), (16, 0.0013453618157655), (4, 4.053711305431612e-13), (9, 2.9847920467694633e-13), (15, 1.5536432817347956e-13)]"
hexasudoku_16x16,72,uncorrectable,"(9, 11)",14,0.46682244539260864,10,3,0.1714741289615631,A->E,"[(14, 0.46682244539260864), (13, 0.3469110131263733), (10, 0.1714741289615631), (11, 0.0070329816080629826), (8, 0.004325557965785265)]"
hexasudoku_16x16,72,uncorrectable,"(11, 11)",3,0.6629214286804199,2,2,0.33432096242904663,2->3,"[(3, 0.6629214286804199), (2, 0.33432096242904663), (5, 0.0027524272445589304), (12, 5.075980425317539e-06), (16, 4.543935006040556e-08)]"
hexasudoku_16x16,73,uncorrectable,"(0, 9)",9,0.5839320421218872,2,2,0.21974946558475494,2->9,"[(9, 0.5839320421218872), (2, 0.21974946558475494), (14, 0.16369947791099548), (8, 0.03025595284998417), (16, 0.0022882637567818165)]"
hexasudoku_16x16,73,uncorrectable,"(1, 1)",15,0.5430419445037842,16,2,0.45695486664772034,G->F,"[(15, 0.5430419445037842), (16, 0.45695486664772034), (9, 2.7005153242498636e-06), (14, 5.142161967341963e-07), (7, 1.9085380387195983e-08)]"
hexasudoku_16x16,73,uncorrectable,"(12, 14)",11,1.0,16,3,2.7417163591531013e-13,G->B,"[(11, 1.0), (6, 3.2886231515760755e-09), (16, 2.7417163591531013e-13), (8, 3.738097427218945e-15), (13, 3.1557770990581907e-15)]"
hexasudoku_16x16,73,uncorrectable,"(14, 9)",5,0.7209844589233398,3,2,0.27694448828697205,3->5,"[(5, 0.7209844589233398), (3, 0.27694448828697205), (9, 0.002067797351628542), (11, 1.505648356214806e-06), (8, 9.561268825564184e-07)]"
hexasudoku_16x16,74,single,"(1, 8)",14,0.8075023293495178,11,3,0.05223638936877251,B->E,"[(14, 0.8075023293495178), (16, 0.1393105834722519), (11, 0.05223638936877251), (8, 0.0009503615438006818), (3, 3.6036561823493685e-07)]"
hexasudoku_16x16,75,single,"(14, 11)",7,0.859195351600647,9,2,0.139910027384758,9->7,"[(7, 0.859195351600647), (9, 0.139910027384758), (4, 0.0008477166993543506), (1, 3.8982529076747596e-05), (2, 3.576516519387951e-06)]"
